domain,2018,2017,2016,yrs,network
"12minutos.com","","1","1","2","React365"
"20minutenews.com","","1","1","2","Celebtricity"
"24aktuelles.com","","1","1","2","React365"
"24x365live.com","","1","1","2",""
"abcnews-us.com","","1","1","2","Batty"
"abcnews.com.co","1","1","1","3",""
"actualite.co","","1","1","2","React365"
"adobochronicles.com","1","1","1","3",""
"alabamaobserver.com","","1","","1","Batty"
"albertatimes.com","","1","1","2",""
"alertchild.com","","1","1","2","Celebtricity"
"americanflavor.news","","1","","1",""
"areyousleep.com","","1","1","2","Celebtricity"
"associatedmediacoverage.com","1","1","","2",""
"badcriminals.com","","1","1","2","Celebtricity"
"battypost.com","","1","","1","Batty"
"bizstandardnews.com","1","1","1","3",""
"borderherald.com","","1","","1","Batty"
"bostonleader.com","","1","","1","Batty"
"breakingnews247.net","","1","1","2","React365"
"breakingnews365.net","","1","1","2","React365"
"burrardstreetjournal.com","1","1","1","3",""
"cartelpress.com","1","1","","2",""
"cartelreport.com","","1","1","2","Celebtricity"
"celebtricity.com","1","1","1","3","Celebtricity"
"channel22news.com","","1","1","2","Channel23"
"channel23news.com","","1","1","2","Channel23"
"channel24news.com","","1","1","2","Channel23"
"channel28news.com","","1","1","2","Channel23"
"channel33news.com","","1","1","2","Channel23"
"channel34news.com","","1","1","2","Channel23"
"channel40news.com","","1","1","2","Channel23"
"channel45news.com","","1","1","2","Channel23"
"channel46news.com","","1","1","2","Channel23"
"channel5000.com","","1","","1","Celebtricity"
"channel55news.com","","1","","1","Channel23"
"channel56news.com","","1","","1","Channel23"
"channel59news.com","","1","","1","Channel23"
"channel60news.com","","1","1","2","Channel23"
"channel62news.com","","1","","1","Channel23"
"channel63news.com","","1","","1","Channel23"
"channel65news.com","","1","","1","Channel23"
"channel66news.com","","1","","1","Channel23"
"channel68news.com","","1","","1","Channel23"
"channel77news.com","","1","","1","Channel23"
"civictribune.com","1","1","1","3",""
"cnn-globalnews.com","","1","","1","Batty"
"cnn-internationaledition.com","","1","","1","Batty"
"cnn.com.de","","1","1","2",""
"cnoticias.net","","1","1","2","React365"
"countyweekly.com","","1","","1","Batty"
"dailycurrant.com","1","1","1","3",""
"dailyfinesser.com","1","1","1","3",""
"dailyworldupdate.com","","1","1","2","Busta"
"dallastimes.us","","1","","1","Batty"
"denverinquirer.com","","1","","1","Batty"
"drugsofficial.com","","1","1","2","Celebtricity"
"dublintribune.com","","1","","1","Batty"
"empireherald.com","1","1","1","3",""
"empirenews.net","1","1","1","3",""
"empiresports.co","1","1","1","3",""
"en-bref.fr","","1","1","2","React365"
"everydaybreakingnews.com","","1","","1","Celebtricity"
"fedsalert.com","","1","","1","Celebtricity"
"floridasunpost.com","","1","","1","Batty"
"folksvideo.com","","1","1","2","Celebtricity"
"freddymag.com","1","1","","2",""
"freeinquirer.com","","1","","1","Batty"
"freewoodpost.com","","1","1","2",""
"globalassociatednews.com","1","1","","2",""
"heaviermetal.net","1","1","","2",""
"hotglobalnews.com","1","1","","2",""
"houstonchronicle-tv.com","","1","","1",""
"houstonleader.com","","1","","1",""
"huzlers.com","1","1","1","3",""
"jacksontelegraph.com","","1","","1","Batty"
"jokerviral.com","","1","","1","Celebtricity"
"journaldemourreal.com","","1","","1",""
"ladiesofliberty.net","","1","1","2","Busta"
"mediamass.net","1","1","","2",""
"mississippiherald.com","","1","","1","Batty"
"mrnewswatch.com","","1","1","2","Celebtricity"
"msnbc.website","1","1","","2",""
"nachrichten.de.com","","1","1","2","React365"
"nachrichten365.com","","1","1","2","React365"
"nationalreport.net","1","1","1","3",""
"ncscooper.com","1","1","","2",""
"neonnettle.com","","1","1","2",""
"net-infosnews.com","","1","1","2","React365"
