domain,"name","description",date
7newspolitical.site,"7 News Political","<p><a href=&quot;https://www.7newspolitical.site/&quot;>7newspolitical.site</a> posts clickbait stories and has no disclaimer.</p><p>The site is <a href=&quot;http://whois.domaintools.com/7newspolitical.site&quot;>registered</a> through Who is Guard, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
americasfreedomfighters.com,"America&#8217;s Freedom Fighters","<p><a href=&quot;https://americasfreedomfighters.com/&quot;>Americasfreedomfighters.com</a> doesn&#8217;t have a disclaimer on its website, but it does say on <a href=&quot;https://www.facebook.com/pg/AmericasFreedomFighters/about/?ref=page_internal&quot;>one</a> <a href=&quot;https://www.facebook.com/pg/AFFMediaInc/about/?ref=page_internal&quot;>of</a> <a href=&quot;https://www.facebook.com/pg/NationInDistress/about/?ref=page_internal&quot;>at</a> <a href=&quot;https://www.facebook.com/pg/ExtremelyPissedOffRightWingers3/about/?ref=page_internal&quot;>least</a> <a href=&quot;https://www.facebook.com/pg/EXTREMELYPISSEDOFFRIGHTWINGERS2/about/?ref=page_internal&quot;>five</a> associated Facebook pages:</p><p>&#8220;<a href=&quot;https://www.facebook.com/pg/AmericasFreedomFighters/about/?ref=page_internal&quot;>We Provide Truthful News To Patriots That The MSM Refuses To Report! Give Us A Like! You Won’t Be Disappointed!</a>&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/americasfreedomfighters.com&quot;>registered</a> through The Endurance International Group, a company that hides the identity and location of the owner of the website.</p><p>But it is run by a father and son in California, Dino Porrazzo Sr. and Dino Porrazzo Jr., who <a href=&quot;https://businesssearch.sos.ca.gov/Document/RetrievePDF?Id=03985176-21880807&quot;>incorporated</a> AFF Media Inc. in 2017.</p><p>They write under the pseudonyms <a href=&quot;https://www.facebook.com/JohnyDavis42014?lst=404246%3A100006052356852%3A1533678543&quot;>Johnny Davis</a> and <a href=&quot;https://www.facebook.com/pg/DeanJamesAff/about/?ref=page_internal&quot;>Dean James,</a> and they also run the website <a href=&quot;https://rightwingtribune.com/&quot;>Rightwingtribune.com</a>.</p>",2018-11-18
americaslastlineofdefense.org,"America’s Last Line of Defense","<p><a href=&quot;https://americaslastlineofdefense.org/&quot;>Americaslastlineofdefense.org</a> is the central website in a <a href=&quot;https://www.facebook.com/thelastlineofdefense/&quot;>network</a> of sites that describe their content as satire aimed at provoking conservatives. All of the sites &#8212; including <a href=&quot;https://trumpbetrayed.us/all/&quot;>trumpbetrayed.us</a>, <a href=&quot;https://worstpot.us/ever/&quot;>worstpot.us</a> and <a href=&quot;https://nofakenewsonline.us/&quot;>nofakenewsonline.us</a> &#8212; provide this disclaimer on the &#8220;<a href=&quot;https://web.archive.org/save/http://thelastlineofdefense.online/about/&quot;>About</a>&#8221; page:</p><p>&#8220;Everything on this website is fiction. It is not a lie and it is not fake news because it is not real. If you believe that it is real, you should have your head examined. Any similarities between this site’s pure fantasy and actual people, places and events are purely coincidental and all images should be considered altered and satirical.&#8221;</p><p>However, the stories that appear on those sites are often copied and reposted by websites that have no such disclaimer.</p><p>The sites are <a href=&quot;http://whois.domaintools.com/americaslastlineofdefense.org&quot;>registered</a> through Who is Guard, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
americanjournalreview.com,"American Journal Review","<p><a href=&quot;http://www.americanjournalreview.com/&quot;>Americanjournalreview.com</a> doesn&#8217;t have a disclaimer, but it does say on the &#8220;<a href=&quot;https://web.archive.org/web/20180404211436/http://www.americanjournalreview.com/fair-use-and-copyright-policy/&quot;>Fair Use and Copyright Policy</a>&#8221; page that its content is:</p><p>&#8220;news reporting, criticism and comment, parody, education, research, et al.&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/americanjournalreview.com&quot;>registered</a> through Domains By Proxy, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
bannedinformation.com,"Banned Information","<p><a href=&quot;http://bannedinformation.com/&quot;>BannedInformation.com</a> has this disclaimer on its &#8220;<a href=&quot;http://bannedinformation.com/sample-page/&quot;>About</a>&#8221; page:</p><p>&#8220;BannedInformation.com should not be considered an unbiased news source, rather we publish opinions and interpretations of the day’s news by Conservative and Libertarian bloggers. Again, BannedInformation.com publishes commentary and opinion by conservatives and libertarians, not unbiased news reporting.&#8221;</p><p>The site is <a href=&quot;http://whois.domaintools.com/bannedinformation.com&quot;>registered</a> through Domain Privacy Service, a company that hides the identity and location of the owner of the website.</p><p>According to the site&#8217;s &#8220;<a href=&quot;https://web.archive.org/web/20180820181047/http://bannedinformation.com/sample-page/&quot;>About</a>&#8221; page, it is owned by <a href=&quot;http://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=EntityName&amp;directionType=Initial&amp;searchNameOrder=POWERTOPUBLISHER%20L160000012200&amp;aggregateId=flal-l16000001220-8f1de4c8-133e-4c60-afd1-8ff243395bdd&amp;searchTerm=Power%20To%20The%20Publisher&amp;listNameOrder=POWERTOPUBLISHER%20L160000012200&quot;>Power To The Publisher LLC</a>, which is based in Florida. Power To The Publisher also owns FBnewscycle.com.</p>",2018-11-18
blingnews.com,"BlingNews.com","<p><a href=&quot;http://www.blingnews.com/&quot;>BlingNews.com</a> posts largely partisan clickbait stories and has no disclaimer.</p><p>The site is <a href=&quot;http://whois.domaintools.com/blingnews.com&quot;>registered</a> through Domains By Proxy, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
cbinfo24.com,"CBINFO24.com","<p><a href=&quot;http://www.cbinfo24.com/&quot;>Cbinfo24.com</a> posts clickbait stories copied from other websites. It doesn&#8217;t have a disclaimer, but it does have this on its &#8220;<a href=&quot;http://www.cbinfo24.com/terms-and-conditions/&quot;>terms and conditions</a>&#8221; page:</p><p>&#8220;This Website is provided &#8216;as is,&#8217; with all faults, and V&amp;J express no representations or warranties, of any kind related to this Website or the materials contained on this Website. Also, nothing contained on this Website shall be interpreted as advising you.&#8221;</p><p><a href=&quot;http://www.ilovemyamerica.net/terms-and-conditions/&quot;>Several</a> <a href=&quot;http://www.patriotnetwork.one/terms-and-conditions/&quot;>other</a> <a href=&quot;http://www.svijmedia.com/terms-and-conditions/&quot;>similar</a> <a href=&quot;http://www.fergieinfo.com/terms-and-conditions/&quot;>sites</a> <a href=&quot;http://www.tamche1966.com/terms-and-conditions/&quot;>have</a> <a href=&quot;http://www.thisboss.net/terms-and-conditions/&quot;>the</a> <a href=&quot;http://www.butam.net/terms-and-conditions/&quot;>same</a> language on their terms and conditions pages.</p><p>The site is <a href=&quot;http://whois.domaintools.com/cbinfo24.com&quot;>registered</a> to an owner in Macedonia.</p>",2018-11-18
channel23news.com,"Channel 23 News ","<p><a href=&quot;https://channel23news.com/&quot;>Channel23News.com</a> is a prank site that encourages readers to “Create A Story &amp; Trick Your Friends!”</p>",2018-11-18
conservativeangle.com,"Conservative Angle","<p><a href=&quot;http://conservativeangle.com/&quot;>Conservativeangle.com</a> aggregates stories from conservative websites. It has no disclaimer.</p><p>The site is <a href=&quot;http://whois.domaintools.com/conservativeangle.com&quot;>registered</a> through Domains By Proxy, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
consnation.com,"Conservative Nation ","<p><a href=&quot;http://www.consnation.com/&quot;>Consnation.com</a> has this <a href=&quot;https://web.archive.org/web/20180404213131/http://www.consnation.com/disclaimer/&quot;>disclaimer</a>:</p><p>&#8220;All the information on this website is published in good faith and for general information purpose only. Conservative Nation does not make any warranties about the completeness, reliability, and accuracy of this information.”</p><p>The site is <a href=&quot;http://whois.domaintools.com/consnation.com&quot;>registered</a> through Proxy Protection, a company that hides the identity and location of the owner of the website.</p>",2018-11-18
