domain,category
21stcenturywire.com,clickbait
activistpost.com,clickbait
americannews.com,fake-hoax
amplifyingglass.com,satire
beforeitsnews.com,clickbait
bigamericannews.com,fake-hoax
christwire.org,fake-hoax
chronicle.su,clickbait
civictribune.com,fake-hoax
clickhole.com,fake-hoax
coasttocoastam.com,clickbait
consciouslifenews.com,clickbait
countdowntozerotime.com,clickbait
counterpsyops.com,clickbait
creambmp.com,fake-hoax
dailybuzzlive.com,clickbait
dailycurrant.com,fake-hoax
dcclothesline.com,fake-hoax
dcgazette.com,fake-hoax
derfmagazine.com,fake-hoax
disclose.tv,clickbait
drudgereport.com.co,fake-hoax
duffleblog.com,satire
duhprogressive.com,fake-hoax
empiresports.co,satire
enduringvision.com,fake-hoax
fprnradio.com,clickbait
geoengineeringwatch.org,clickbait
globalresearch.ca,clickbait
gomerblog.com,satire
govtslaves.info,clickbait
gulagbound.com,clickbait
hangthebankers.com,clickbait
humansarefree.com,clickbait
huzlers.com,satire
infowars.com,clickbait
intellihub.com,clickbait
itaglive.com,satire
jonesreport.com,clickbait
lewrockwell.com,clickbait
libertymovementradio.com,clickbait
libertytalk.fm,clickbait
libertyvideos.org,clickbait
mediamass.net,fake-hoax
megynkelly.us,clickbait
msnbc.website,fake-hoax
nahadaily.com,satire
nationalreport.net,fake-hoax
newsbiscuit.com,fake-hoax
newslo.com,satire
newsmutiny.com,fake-hoax
newswire-24.com,clickbait
nodisinfo.com,clickbait
nowtheendbegins.com,clickbait
pakalertpress.com,clickbait
politicalblindspot.com,clickbait
politicalears.com,fake-hoax
prisonplanet.com,clickbait
prisonplanet.tv,clickbait
realfarmacy.com,clickbait
realnewsrightnow.com,fake-hoax
redflagnews.com,clickbait
rilenews.com,fake-hoax
rockcitytimes.com,satire
thedailysheeple.com,clickbait
thelapine.ca,satire
thenewsnerd.com,fake-hoax
theonion.com,satire
therundownlive.com,clickbait
thespoof.com,satire
theuspatriot.com,fake-hoax
truthfrequencyradio.com,clickbait
unconfirmedsources.com,clickbait
veteranstoday.com,clickbait
wakingupwisconsin.com,clickbait
weeklyworldnews.com,satire
wideawakeamerica.com,clickbait
witscience.org,fake-hoax
worldnewsdailyreport.com,satire
conservativeoutfitters.com,clickbait
naturalnews.com,clickbait
empirenews.com,fake-hoax
msnbc.co,fake-hoax
news-hound.com,fake-hoax
private-eye.co.uk,fake-hoax
sprotspickle.com,fake-hoax
bigpzone.com,clickbait
