domain,name,category,name-2,note,note_date,source,source_url,url,date_added
"100percentfedup.com","100PercentFedUp","Warning","","","","","","100PercentFedUp.com","2016-11-16"
"16wmpo.com","","Warning","","","","","","16WMPO.com","2017-07-19"
"21stcenturywire.com","21st Century Wire","Warning","","","","","","21stCenturyWire.com","2016-11-16"
"247newsmedia.com","","Fake News","","","","","","247NewsMedia.com","2017-07-19"
"24nyt.dk","24 NYT","Fake News","","<p>This is the first fake news website known to target Denmark.</p>","2017-04-10 20:14:36","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","24nyt.dk","2017-04-10"
"24online.news","","Warning","","","","","","24online.news","2017-07-19"
"24wpn.com","","Fake News","","","","","","24wpn.com","2017-07-19"
"70news.wordpress.com","70news.wordpress.com","Fake News","","<p>70 News is a Wordpress-hosted site that published a false news story, stating that Donald Trump had won the popular vote in the 2016 United States presidential election; the fake story rose to the top in searches for &quot;final election results&quot; on Google News.</p>","2017-03-29 23:22:06","Wikipedia","https://en.wikipedia.org/wiki/List_of_fake_news_websites","70news.wordpress.com","2016-11-16"
"abcnews.com.co","abcnews.com.co","Fake News","","<p>ABCnews.com.co is a fake news site which mimics the URL, design and logo of the actual news site ABCnews.com (which is owned by the Disney&ndash;ABC Television Group). Many stories from ABCnews.com.co have gone viral before being debunked. The sites disclaimer page gives the address of the Westboro Baptist Church as its primary location. Paul Horner, the owner of the site, has claimed to make $10,000 per month from advertising traffic.</p><p>The logo for this site is strikingly similar to that of the real ABC News.</p><p>The site published a story before the election with the (false) headline: &ldquo;Donald Trump Protester Speaks Out: &lsquo;I Was Paid $3,500 To Protest Trump&rsquo;s Rally.&#39; --<a href=""http://www.cbsnews.com/pictures/dont-get-fooled-by-these-fake-news-sites/4/"">CBS News</a></p><!- IIFN 2-->","2017-03-29 23:22:27","Wikipedia","https://en.wikipedia.org/wiki/ABCnews.com.co","abcnews.com.co","2016-11-16"
"abcnews.go.com","ABC News","Reliable","","","","","","abcnews.go.com","2017-04-25"
"activistpost.com","Activist Post","Warning","","","","","","ActivistPost.com","2016-11-16"
"actualidadpanamericana.com","","Satire","","","","","","actualidadpanamericana.com","2017-07-19"
