domain,type,2nd type,3rd type,source_notes,
4threvolutionarywar.wordpress.com,bias,conspiracy,,,
16wmpo.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
21stcenturywire.com,conspiracy,,,,
24newsflash.com,fake,,,,
24wpn.com,fake, ,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
70news.wordpress.com,fake,,,,
82.221.129.208,conspiracy,fake,, ,
100percentfedup.com,bias,,,,
365usanews.com,bias,conspiracy,,,
aanirfan.blogspot.co.uk,unreliable,,,0,
abcnews.com.co,fake,,,,
abcnewsgo.co,fake,,,,
abeldanger.net,conspiracy,,,,
abovetopsecret.com,conspiracy,rumor,,,
abriluno.com,satire,fake,,,
aceflashman.wordpress.com,satire,,,,
actforamerica.org/news,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
Acting-Man.com,unreliable,conspiracy,,publishes articles denying climate change,
activistpost.com,conspiracy,,,,
actualidadpanamericana.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
addictinginfo.org,clickbait,unreliable,,,
adflegal.org/media,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
adobochronicles.com,satire,,,,
advocate.com,political,reliable,,,
aheadoftheherd.com,bias,,,"false quotes regarding banking, heavily promotes businesses advertising on site/ buying of precious metals",
ahtribune.com,unreliable,bias,,,
allnewspipeline.com,unreliable,conspiracy,,,
Alt-Market.com,conspiracy,bias, ,,
alternativemediasyndicate.com,fake,,,http://alternativemediasyndicate.com/2017/02/02/police-raid-standing-rock-camp-destroy-tipis-burning-remains/,
alternet.org,political,reliable,,,
americablog.com,bias,clickbait,,domain for sale,
americanborderpatrol.com,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
americanfreepress.net,conspiracy,bias,,,
AmericanKabuki.blogspot.com,junksci,,,,
americanlookout.com,bias,clickbait,,,
americannews.com,fake,,,,
americannewsx.com,political,bias,satire,,
americanoverlook.com,fake,,,,
americanpatriotdaily.com,bias,clickbait,bias,,
americanpoliticnews.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
americanpresident.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
americanprogress.org,political,reliable,,,
americanreviewer.com,conspiracy,,,,
americanthinker.com,bias, ,,"sites both reliable/not reliable sources, mix of opinion/'fact'",
americantoday.news,rumor,bias,,,
americasfreedomfighters.com,bias,clickbait,,,
AmmoLand.com,bias,,, ,
amplifyingglass.com,clickbait,satire,,,
Amposts.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
amren.com,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
amren.com,hate,conspiracy,,,
amtvmedia.com,rumor,unreliable,,,
amusmentic.com,clickbait,rumor,,,
