"domain"	"name"	"info"	"footnotes"
"70news.wordpress.com"	"70 News"	"A <a href=""/wiki/WordPress"" title=""WordPress"">WordPress</a>-hosted site that published a false news story, stating that <a href=""/wiki/Donald_Trump"" title=""Donald Trump"">Donald Trump</a> had won the popular vote in the 2016 United States presidential election; the fake story rose to the top in searches for ""final election results"" on <a href=""/wiki/Google_News"" title=""Google News"">Google News</a>."	"<sup id=""cite_ref-9"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-9"">[9]</a></sup><sup id=""cite_ref-10"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-10"">[10]</a></sup>"
"abcnews.com.co"	"ABCnews.com.co (defunct)"	"Wikipedia: <a href=""/wiki/ABCnews.com.co"" title=""ABCnews.com.co"">ABCnews.com<b>.co</b></a> <i>(defunct)</i>. Owned by <a href=""/wiki/Paul_Horner"" title=""Paul Horner"">Paul Horner</a>. Mimics the URL, design and logo of <a href=""/wiki/ABC_News"" title=""ABC News"">ABC News</a> (owned by <a href=""/wiki/Disney%E2%80%93ABC_Television_Group"" title=""Disney–ABC Television Group"">Disney–ABC Television Group</a>)."	"<sup id=""cite_ref-cjr_11-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-cjr-11"">[11]</a></sup><sup id=""cite_ref-politifact_12-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-politifact-12"">[12]</a></sup>"
"american.news"	"American News"	"Published a false story claiming actor <a href=""/wiki/Denzel_Washington"" title=""Denzel Washington"">Denzel Washington</a> endorsed Donald Trump for president. The fictional headline led to thousands of people sharing it on Facebook, a prominent example of fake news spreading on the social network prior to the 2016 presidential election."	"<sup id=""cite_ref-mnt_13-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-mnt-13"">[13]</a></sup><sup id=""cite_ref-bfn_14-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-bfn-14"">[14]</a></sup><sup id=""cite_ref-15"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-15"">[15]</a></sup>"
"americaslastlineofdefense.org"	"The Last Line of Defense"	"This website has a history of publishing fake news articles, especially of the political genre. Notable hoaxes include <a href=""/wiki/Donald_Trump"" title=""Donald Trump"">Donald Trump</a> revoking the press credentials of six major news outlets, <a href=""/wiki/Michelle_Obama"" title=""Michelle Obama"">Michelle Obama</a> getting ditched by the <a href=""/wiki/United_States_Secret_Service"" title=""United States Secret Service"">Secret Service</a>, and <a href=""/wiki/Hillary_Clinton"" title=""Hillary Clinton"">Hillary Clinton</a> describing <a href=""/wiki/Beyonce"" class=""mw-redirect"" title=""Beyonce"">Beyonce</a>'s music using racial slurs. Although the website claims to be written by ""a group of educated, God-fearing Christian conservative patriots who are tired of Obama’s tyrannical reign and ready to see a strong Republican take the White House,"" its articles are in fact all written by one person, Christopher Blair, who has written under multiple pen names. (BG-note: wearethellod.com https://www.snopes.com/tag/the-last-line-of-defense/)"	"<sup id=""cite_ref-79"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-79"">[79]</a></sup><sup id=""cite_ref-80"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-80"">[80]</a></sup><sup id=""cite_ref-81"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-81"">[81]</a></sup><sup id=""cite_ref-82"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-82"">[82]</a></sup>"
"beforeitsnews.com"	"Before It's News"	"Cited by US President <a href=""/wiki/Donald_Trump"" title=""Donald Trump"">Donald Trump</a> at his 2016 campaign rallies. Before It's News and <a href=""/wiki/InfoWars"" title=""InfoWars"">InfoWars</a> were described as ""unabashedly unhinged 'news' sites"" in 2014 by <i><a href=""/wiki/The_Washington_Post"" title=""The Washington Post"">The Washington Post</a></i> following its promotion of conspiracy theories relating to <a href=""/wiki/Malaysia_Airlines_Flight_17"" title=""Malaysia Airlines Flight 17"">Malaysia Airlines Flight 17</a>."	"<sup id=""cite_ref-:0_16-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-:0-16"">[16]</a></sup><sup id=""cite_ref-usnews_17-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-usnews-17"">[17]</a></sup>"
"bients.com"	"bients.com"	""	"<sup id=""cite_ref-huffpost-bernie_18-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-huffpost-bernie-18"">[18]</a></sup>"
"bizstandardnews.com"	"bizstandardnews.com"	"Its stories have been mistaken as real-news then shared and cited as real-news.<p class=""mw-empty-elt""></p><p>Its disclaimer says the stories ""could be true"" because ""reality is so strange nowadays"". But the disclaimer also says it is ""a satirical site designed to parody the 24-hour news cycle.""<sup id=""cite_ref-19"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-19"">[19]</a></sup></p><p>Its name is similar to the unrelated Indian English-language daily newspaper called <i><a href=""/wiki/Business_Standard"" title=""Business Standard"">Business Standard</a></i>.</p>"	"<sup id=""cite_ref-LuedersArticle_20-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-LuedersArticle-20"">[20]</a></sup><sup id=""cite_ref-21"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-21"">[21]</a></sup><sup id=""cite_ref-22"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-22"">[22]</a></sup><sup id=""cite_ref-23"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-23"">[23]</a></sup><sup id=""cite_ref-24"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-24"">[24]</a></sup><sup id=""cite_ref-25"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-25"">[25]</a></sup>"
"bloomberg.ma"	"Bloomberg<b>.ma</b> <i>(defunct)</i>"	"Designed to imitate <a href=""/wiki/Bloomberg.com"" class=""mw-redirect"" title=""Bloomberg.com"">Bloomberg.com</a>. Was used to issue a false report announcing that Twitter had received a USD $31 billion takeover offer, resulting in a brief 8% stock price spike of Twitter. The site is now defunct."	"<sup id=""cite_ref-26"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-26"">[26]</a></sup><sup id=""cite_ref-27"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-27"">[27]</a></sup>"
"bostontribune.com"	"The Boston Tribune"	"Starting in February 2016, this website's outright hoaxes quickly became popular with its readers."	"<sup id=""cite_ref-snopes_28-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-snopes-28"">[28]</a></sup>"
"breaking-cnn.com"	"Breaking-CNN.com"	"Responsible for publishing numerous <a href=""/wiki/List_of_premature_obituaries"" title=""List of premature obituaries"">death hoaxes</a>, including one for former First Lady <a href=""/wiki/Barbara_Bush"" title=""Barbara Bush"">Barbara Bush</a> one day after her announcement that she would halt all further medical treatment in 2018. Designed to emulate <a href=""/wiki/CNN"" title=""CNN"">CNN</a>."	"<sup id=""cite_ref-29"" class=""reference""><a href=""https://en.wikipedia.org/wiki/List_of_fake_news_websites#cite_note-29"">[29]</a></sup>"
